rank,finalWorth,category,personName,age,country,city,source,industries,countryOfCitizenship,organization,selfMade,status,gender,birthDate,lastName,firstName,title,date,state,residenceStateRegion,birthYear,birthMonth,birthDay,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,tax_revenue_country_country,total_tax_rate_country,population_country,latitude_country,longitude_country
"1,211000,Fashion & Retail,Bernard Arnault & family,74,France,Paris,LVMH,Fashion & Retail,France,LVMH Moët Hennessy Louis Vuitton,FALSE,U,M,3/5/1949 0:00,Arnault,Bernard,Chairman and CEO,4/4/2023 5:01,,,1949,3,5,110.05,1.1,""$2,715,518,274,227 "",65.6,102.5,82.5,24.2,60.7,67059887,46.227638,2.213749"
"2,180000,Automotive,Elon Musk,51,United States,Austin,""Tesla, SpaceX"",Automotive,United States,Tesla,TRUE,D,M,6/28/1971 0:00,Musk,Elon,CEO,4/4/2023 5:01,Texas,South,1971,6,28,117.24,7.5,""$21,427,700,000,000 "",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891"
"3,114000,Technology,Jeff Bezos,59,United States,Medina,Amazon,Technology,United States,Amazon,TRUE,D,M,1/12/1964 0:00,Bezos,Jeff,Chairman and Founder,4/4/2023 5:01,Washington,West,1964,1,12,117.24,7.5,""$21,427,700,000,000 "",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891"
"4,107000,Technology,Larry Ellison,78,United States,Lanai,Oracle,Technology,United States,Oracle,TRUE,U,M,8/17/1944 0:00,Ellison,Larry,CTO and Founder,4/4/2023 5:01,Hawaii,West,1944,8,17,117.24,7.5,""$21,427,700,000,000 "",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891"
"5,106000,Finance & Investments,Warren Buffett,92,United States,Omaha,Berkshire Hathaway,Finance & Investments,United States,Berkshire Hathaway Inc. (Cl A),TRUE,D,M,8/30/1930 0:00,Buffett,Warren,CEO,4/4/2023 5:01,Nebraska,Midwest,1930,8,30,117.24,7.5,""$21,427,700,000,000 "",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891"
"6,104000,Technology,Bill Gates,67,United States,Medina,Microsoft,Technology,United States,Bill & Melinda Gates Foundation,TRUE,D,M,10/28/1955 0:00,Gates,Bill,Cochair,4/4/2023 5:01,Washington,West,1955,10,28,117.24,7.5,""$21,427,700,000,000 "",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891"
"7,94500,Media & Entertainment,Michael Bloomberg,81,United States,New York,Bloomberg LP,Media & Entertainment,United States,Bloomberg,TRUE,U,M,2/14/1942 0:00,Bloomberg,Michael,CEO,4/4/2023 5:01,New York,Northeast,1942,2,14,117.24,7.5,""$21,427,700,000,000 "",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891"
"8,93000,Telecom,Carlos Slim Helu & family,83,Mexico,Mexico City,Telecom,Telecom,Mexico,América Móvil,TRUE,U,M,1/28/1940 0:00,Slim Helu,Carlos,Honorary Chairman,4/4/2023 5:01,,,1940,1,28,141.54,3.6,""$1,258,286,717,125 "",40.2,105.8,75,13.1,55.1,126014024,23.634501,-102.552784"
"9,83400,Diversified,Mukesh Ambani,65,India,Mumbai,Diversified,Diversified,India,Reliance Industries,FALSE,D,M,4/19/1957 0:00,Ambani,Mukesh,Founder and Chairman,4/4/2023 5:01,,,1957,4,19,180.44,7.7,""$2,611,000,000,000 "",28.1,113,69.4,11.2,49.7,1366417754,20.593684,78.96288"
"10,80700,Technology,Steve Ballmer,67,United States,Hunts Point,Microsoft,Technology,United States,Los Angeles Clippers,TRUE,D,M,3/24/1956 0:00,Ballmer,Steve,Owner,4/4/2023 5:01,Washington,West,1956,3,24,117.24,7.5,""$21,427,700,000,000 "",88.2,101.8,78.5,9.6,36.6,328239523,37.09024,-95.712891"
